session_id,recipe_id,recipe_name,user_id,user_name,test
70a9cd9c-fdbe-41e8-8eba-ede7d4999606,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,6NtMqucnoygL41yKzEL4,Bharadwaaj,test
18ce88ea-f2c0-4116-ba7c-e09d755a277d,Oj3K8k0fnAdubawHx3ZG,Red Sauce Pasta,HWSiD5T2GxYo52pnQUIX,Gokulraj,test
d7456b82-979a-4c7a-8c51-bc6ea418890e,3GPGIgzCUhFzMFxvBIy8,Amaranth Coconut Soup ,any,React Office,test
32eb1d0f-3157-4276-a5e9-7856f0b7b5aa,GR2ULbIX8Jns6OwFW26x,Saucy Sprouts,zOFpmb7JdVZ3sVzhUM0j,Neeraj,test
7faf8a48-f933-4d9e-9e35-e385592c42a3,GR2ULbIX8Jns6OwFW26x,Saucy Sprouts,zOFpmb7JdVZ3sVzhUM0j,Neeraj,test
bb8cdd26-1514-463a-9770-968ffc71c5e0,0wUtwWrmkRkYArq6UAxj,Prawn Curry,any,React Office,test
4ca3724a-065a-47f7-9d54-f4ada0e005b3,tCEVvjpbrEIa3NY8o71O,Kung Pao Chicken,any,React Office,test
1b808c60-f13d-4a2d-96d4-8fc97b822807,Ljd2Z3G3sV5d0sL866GY,Oriental Stir Fry - Your 1st Recipe,default_user,React Office,test
fc7fb926-f33a-4413-893c-5de4830a2632,lqt04ybVZOYfL0FzZMnk,Mushroom Risotto,XcKoR7oivfkXRi9AzhqY,Navodit,test
dacb416e-1e06-4b37-9453-f4dbd9df0cb8,MiM23ao6WAwzMxBqLuAK,Jeera Rice,tRl6UXVPbIg4V4O2XHsi,Raghu,test
f2b83e8b-f8fc-45f1-9976-a194e0384849,Ljd2Z3G3sV5d0sL866GY,Oriental Stir Fry - Your 1st Recipe,default_user,React Office,test
0719f334-d9c3-49b4-8135-4c542d66339d,mTWFVnGTGwGTohXxOL9B,Oriental Stir Fry,kdeJVTe6XrtrtBsSYqFT,Vishnu Prasath,test
15525082-955e-4cf1-a958-b1c60d603f45,akIEPODWTJ58mxB1aosX,Cambodian Braised Pork Stew,default_user,React Office,test
3ef2ca84-9177-44f3-9560-e323089085d0,qDtvJXGNdBs9uHAfxsHT,Aloo Tamatar Sabzi,any,React Office,test
